Cell Name,SITE,LTE_Band,CoSite-Band,cellId,earfcndl,PCI,RachRootSequence,Tac,Latitude,Longitude,Azimuth,Height,Mech. Tilt,LTE Etilt
19617R,19617L,L21,L18+L21,4,150,36,190,19403,35.92101,5.30393,80,20,,0
19617S,19617L,L21,L18+L21,5,150,37,492,19403,35.92101,5.30393,180,20,,0
19617T,19617L,L21,L18+L21,6,150,38,210,19403,35.92101,5.30393,290,20,,0
19618M,19618L,L18,L18+L21,1,1680,48,240,19403,35.956944,5.297778,0,32,2,4
19618N,19618L,L18,L18+L21,2,1680,49,220,19403,35.956944,5.297778,100,32,1,4
19618O,19618L,L18,L18+L21,3,1680,50,230,19403,35.956944,5.297778,190,32,0,1.5
19618R,19618L,L21,L18+L21,4,150,48,240,19403,35.956944,5.297778,0,32,,0
19618S,19618L,L21,L18+L21,5,150,49,220,19403,35.956944,5.297778,100,32,,0
19618T,19618L,L21,L18+L21,6,150,50,230,19403,35.956944,5.297778,190,32,,0
19620M,19620L,L18,L18,1,1680,3,80,19403,36.1997,5.26534,30,24,0,6
19620N,19620L,L18,L18,2,1680,4,90,19403,36.1997,5.26534,140,24,0,6
19620O,19620L,L18,L18,3,1680,5,100,19403,36.1997,5.26534,220,24,0,6
19621M,19621L,L18,L18,1,1680,36,60,19403,36.250278,5.11602,160,22,1,0
19621N,19621L,L18,L18,2,1680,37,70,19403,36.250278,5.11602,250,22,0,0
19621O,19621L,L18,L18,3,1680,38,80,19403,36.250278,5.11602,330,22,0,0
19622M,19622L,L18,L18+L21,1,1680,132,610,19403,36.18424,5.3072,40,15,0,0
19622N,19622L,L18,L18+L21,2,1680,133,620,19403,36.18424,5.3072,160,15,0,0
19622O,19622L,L18,L18+L21,3,1680,134,630,19403,36.18424,5.3072,260,15,1,2
19622R,19622L,L21,L18+L21,4,150,132,610,19403,36.18424,5.3072,40,15,,0
19622S,19622L,L21,L18+L21,5,150,133,620,19403,36.18424,5.3072,160,15,,0
19622T,19622L,L21,L18+L21,6,150,134,630,19403,36.18424,5.3072,260,15,,0
19624M,19624L,L18,L18,1,1680,42,190,19403,36.36554,5.50666,50,20,0,0
19624N,19624L,L18,L18,2,1680,43,200,19403,36.36554,5.50666,150,20,0,0
19624O,19624L,L18,L18,3,1680,44,210,19403,36.36554,5.50666,230,20,0,0
19625M,19625L,L18,L18+L21,1,1680,69,220,19403,36.36505,5.50114,40,18,0,6
19625N,19625L,L18,L18+L21,2,1680,70,230,19403,36.36505,5.50114,160,18,0,0
19625O,19625L,L18,L18+L21,3,1680,71,240,19403,36.36505,5.50114,320,18,0,0
19625R,19625L,L21,L18+L21,4,150,69,220,19403,36.36505,5.50114,40,18,,0
19625S,19625L,L21,L18+L21,5,150,70,230,19403,36.36505,5.50114,160,18,,0
19625T,19625L,L21,L18+L21,6,150,71,240,19403,36.36505,5.50114,320,18,,0
19630M,19630L,L18,L18+L21,1,1680,30,70,19405,35.7609,5.20964,60,18,,0
19630N,19630L,L18,L18+L21,2,1680,31,80,19405,35.7609,5.20964,240,18,,0
19630O,19630L,L18,L18+L21,3,1680,32,90,19405,35.7609,5.20964,320,18,,0
19630R,19630L,L21,L18+L21,4,150,30,70,19405,35.7609,5.20964,60,18,,0
19630S,19630L,L21,L18+L21,5,150,31,80,19405,35.7609,5.20964,240,18,,0
19630T,19630L,L21,L18+L21,6,150,32,90,19405,35.7609,5.20964,320,18,,0
19633M,19633L,L18,L18,1,1680,459,250,19405,35.856781,5.3656,80,17,0,0
19633N,19633L,L18,L18,2,1680,460,260,19405,35.856781,5.3656,270,17,0,0
19634M,19634L,L18,L18,1,1680,294,220,19403,36.33491,5.23597,10,39,-2,0
19634N,19634L,L18,L18,2,1680,295,200,19403,36.33491,5.23597,120,39,0,0
19634O,19634L,L18,L18,3,1680,296,210,19403,36.33491,5.23597,270,39,0,0
19636M,19636L,L18,L18,1,1680,93,90,19403,36.504082,5.03419,140,12,2,0
19636N,19636L,L18,L18,2,1680,94,100,19403,36.504082,5.03419,240,12,0,0
19637M,19637L,L18,L18,1,1680,9,260,19403,36.4537,5.09662,50,18,,0
19637N,19637L,L18,L18,2,1680,10,270,19403,36.4537,5.09662,150,18,,0
19637O,19637L,L18,L18,3,1680,11,280,19403,36.4537,5.09662,260,18,,0
19638M,19638L,L18,L18,1,1680,96,10,19403,36.43111,4.992778,0,16,0,0
19638N,19638L,L18,L18,2,1680,97,0,19403,36.43111,4.992778,240,16,0,0
19640M,19640L,L18,L18,1,1680,45,10,19403,36.46696,4.86614,50,23,3,0
19640N,19640L,L18,L18,2,1680,46,20,19403,36.46696,4.86614,170,23,0,0
19640O,19640L,L18,L18,3,1680,47,30,19403,36.46696,4.86614,270,23,0,3
19642M,19642L,L18,L18,1,1680,234,60,19403,36.411667,4.888889,100,22,0,0
19642N,19642L,L18,L18,2,1680,235,70,19403,36.411667,4.888889,240,22,0,0
19642O,19642L,L18,L18,3,1680,236,80,19403,36.411667,4.888889,330,22,0,0
19643M,19643L,L18,L18,1,1680,102,110,19403,36.4433,4.97078,60,12,0,0
19643N,19643L,L18,L18,2,1680,103,120,19403,36.4433,4.97078,280,12,2,0
19644M,19644L,L18,L18+L21,1,1680,45,119,19403,36.0354,5.33872,100,18,2,0
19644N,19644L,L18,L18+L21,2,1680,46,129,19403,36.0354,5.33872,230,18,2,0
19644O,19644L,L18,L18+L21,3,1680,47,139,19403,36.0354,5.33872,350,18,2,0
19644R,19644L,L21,L18+L21,4,150,45,119,19403,36.0354,5.33872,100,18,,0
19644S,19644L,L21,L18+L21,5,150,46,129,19403,36.0354,5.33872,230,18,,0
19644T,19644L,L21,L18+L21,6,150,47,139,19403,36.0354,5.33872,350,18,,0
19646M,19646L,L18,L18,1,1680,9,130,34401,35.89761,5.20568,41,20,10,0
19646N,19646L,L18,L18,2,1680,10,140,34401,35.89761,5.20568,260,20,3,0
19647M,19647L,L18,L18,1,1680,15,240,34401,35.921947,5.141667,60,21,0,0
19647N,19647L,L18,L18,2,1680,16,250,34401,35.921947,5.141667,180,21,0,0
19647O,19647L,L18,L18,3,1680,17,260,34401,35.921947,5.141667,310,21,,0
19649M,19649L,L18,L18,1,1680,303,150,19405,35.80708,5.15555,100,10,4,0
19649N,19649L,L18,L18,2,1680,304,160,19405,35.80708,5.15555,190,10,4,0
19649O,19649L,L18,L18,3,1680,305,170,19405,35.80708,5.15555,280,10,4,0
19650M,19650L,L18,L18,1,1680,330,500,19405,36.15731,5.69343,80,19,4,2
19650N,19650L,L18,L18,2,1680,331,510,19405,36.15731,5.69343,180,19,6,5
19650O,19650L,L18,L18,3,1680,332,520,19405,36.15731,5.69343,280,19,6,2
19651M,19651L,L18,L18,1,1680,36,390,19404,36.151112,5.706667,60,20,0,4
19651N,19651L,L18,L18,2,1680,37,400,19404,36.151112,5.706667,150,20,0,4
19651O,19651L,L18,L18,3,1680,38,410,19404,36.151112,5.706667,240,20,0,4
19652M,19652L,L18,L18+L21,1,1680,39,490,19405,36.14502,5.6816,5,20,0,0
19652N,19652L,L18,L18+L21,2,1680,40,480,19405,36.14502,5.6816,160,20,0,2
19652O,19652L,L18,L18+L21,3,1680,41,470,19405,36.14502,5.6816,210,20,0,4
19652R,19652L,L21,L18+L21,4,150,39,490,19405,36.14502,5.6816,5,20,,0
19652S,19652L,L21,L18+L21,5,150,40,480,19405,36.14502,5.6816,160,20,,0
19652T,19652L,L21,L18+L21,6,150,41,470,19405,36.14502,5.6816,210,20,,0
19653M,19653L,L18,L18,1,1680,426,800,19402,36.18811,5.40271,190,17,2,6
19653N,19653L,L18,L18,2,1680,427,810,19402,36.18811,5.40271,280,17,2,6
19655M,19655L,L18,L18+L21,1,1680,135,380,19402,36.19509,5.42697,30,22,0,2
19655N,19655L,L18,L18+L21,2,1680,136,390,19402,36.19509,5.42697,120,30,0,4
19655O,19655L,L18,L18+L21,3,1680,137,400,19402,36.19509,5.42697,300,30,0,2
19655R,19655L,L21,L18+L21,4,150,135,380,19405,36.19509,5.42697,30,20,,0
19655S,19655L,L21,L18+L21,5,150,136,390,19405,36.19509,5.42697,120,30,,0
19655T,19655L,L21,L18+L21,6,150,137,400,19405,36.19509,5.42697,300,30,,0
19657M,19657L,L18,L18+L21,1,1680,27,0,19402,36.194583,5.392694,30,20,0,0
19657N,19657L,L18,L18+L21,2,1680,28,10,19402,36.194583,5.392694,270,20,0,3
19657R,19657L,L21,L18+L21,4,150,27,0,19402,36.194583,5.392694,30,20,,0
19657S,19657L,L21,L18+L21,5,150,28,10,19402,36.194583,5.392694,270,20,,0
19658M,19658L,L18,L18+L21,1,1680,201,290,19403,36.3325,5.0886,0,20,,0
19658N,19658L,L18,L18+L21,2,1680,202,270,19403,36.3325,5.0886,110,20,,0
19658O,19658L,L18,L18+L21,3,1680,203,280,19403,36.3325,5.0886,260,20,,0
19658R,19658L,L21,L18+L21,4,150,201,290,19403,36.3325,5.0886,0,20,,0
19658S,19658L,L21,L18+L21,5,150,202,270,19403,36.3325,5.0886,110,20,,0
19658T,19658L,L21,L18+L21,6,150,203,280,19403,36.3325,5.0886,260,20,,0
19661M,19661L,L18,L18,1,1680,6,190,19405,36.007038,5.71861,80,25,0,0
19661N,19661L,L18,L18,2,1680,7,200,19405,36.007038,5.71861,180,25,0,0
19661O,19661L,L18,L18,3,1680,8,210,19405,36.007038,5.71861,270,25,3,0
19662M,19662L,L18,L18,1,1680,474,70,19405,35.955559,5.97358,110,23,4,0
19662N,19662L,L18,L18,2,1680,475,80,19405,35.955559,5.97358,210,23,0,0
19662O,19662L,L18,L18,3,1680,476,90,19405,35.955559,5.97358,320,23,3,0
19663M,19663L,L18,L18,1,1680,87,0,19403,36.32512,5.06144,30,25,0,0
19663N,19663L,L18,L18,2,1680,88,10,19403,36.32512,5.06144,240,25,4,0
19663O,19663L,L18,L18,3,1680,89,20,19403,36.32512,5.06144,320,25,2,0
19665M,19665L,L18,L18+L21,1,1680,48,230,19402,36.20728,5.43904,20,25,0,2
19665N,19665L,L18,L18+L21,2,1680,49,210,19402,36.20728,5.43904,190,25,0,2
19665O,19665L,L18,L18+L21,3,1680,50,220,19402,36.20728,5.43904,260,25,0,2
19665R,19665L,L21,L18+L21,4,150,48,230,19402,36.20728,5.43904,20,25,,0
19665S,19665L,L21,L18+L21,5,150,49,210,19402,36.20728,5.43904,190,25,,0
19665T,19665L,L21,L18+L21,6,150,50,220,19402,36.20728,5.43904,260,25,,0
19666M,19666L,L18,L18,1,1680,126,360,19402,36.19267,5.38669,20,17,0,2
19666N,19666L,L18,L18,2,1680,127,340,19402,36.19267,5.38669,120,17,0,4
19666O,19666L,L18,L18,3,1680,128,350,19402,36.19267,5.38669,240,17,0,4
19667M,19667L,L18,L18+L21,1,1680,123,120,19402,36.17827,5.40947,30,25,0,6
19667N,19667L,L18,L18+L21,2,1680,124,130,19402,36.17827,5.40947,190,25,0,4
19667O,19667L,L18,L18+L21,3,1680,125,140,19402,36.17827,5.40947,330,25,0,6
19667R,19667L,L21,L18+L21,4,150,123,120,19402,36.17827,5.40947,30,25,,0
19667S,19667L,L21,L18+L21,5,150,124,130,19402,36.17827,5.40947,190,25,,0
19667T,19667L,L21,L18+L21,6,150,125,140,19402,36.17827,5.40947,330,25,,0
19668M,19668L,L18,L18,1,1680,138,650,19402,36.19938,5.41936,60,18,1,0
19668N,19668L,L18,L18,2,1680,139,660,19402,36.19938,5.41936,180,18,1,0
19668O,19668L,L18,L18,3,1680,140,670,19402,36.19938,5.41936,300,18,0,0
19669M,19669L,L18,L18+L21,1,1680,171,300,19402,36.18972,5.4424,60,21,0,6
19669N,19669L,L18,L18+L21,2,1680,172,310,19402,36.18972,5.4424,160,21,0,4
19669O,19669L,L18,L18+L21,3,1680,173,320,19402,36.18972,5.4424,300,21,0,6
19669R,19669L,L21,L18+L21,4,150,171,300,19402,36.18972,5.4424,60,21,,0
19669S,19669L,L21,L18+L21,5,150,172,310,19402,36.18972,5.4424,160,21,,0
19669T,19669L,L21,L18+L21,6,150,173,320,19402,36.18972,5.4424,300,21,,0
19671R,19671L,L21,L21,1,150,54,10,19403,36.3322,4.84101,100,17,,0
19671S,19671L,L21,L21,2,150,55,20,19403,36.3322,4.84101,200,17,,0
19671T,19671L,L21,L21,3,150,56,30,19403,36.3322,4.84101,300,17,,0
19672M,19672L,L18,L18,1,1680,45,50,19402,36.311111,5.728611,10,16,0,0
19672N,19672L,L18,L18,2,1680,46,30,19402,36.311111,5.728611,120,16,0,0
19672O,19672L,L18,L18,3,1680,47,40,19402,36.311111,5.728611,260,16,0,0
19673M,19673L,L18,L18,1,1680,90,230,19403,36.35434,5.02294,20,19,0,0
19673N,19673L,L18,L18,2,1680,91,210,19403,36.35434,5.02294,120,20,0,0
19673O,19673L,L18,L18,3,1680,92,220,19403,36.35434,5.02294,210,20,0,0
19675M,19675L,L18,L18+L21,1,1680,18,150,19405,35.976391,5.810833,0,18,0,0
19675N,19675L,L18,L18+L21,2,1680,19,130,19405,35.976391,5.810833,130,18,0,0
19675O,19675L,L18,L18+L21,3,1680,20,140,19405,35.976391,5.810833,280,18,0,0
19675R,19675L,L21,L18+L21,4,150,18,150,16406,35.976391,5.810833,0,18,,0
19675S,19675L,L21,L18+L21,5,150,19,130,16406,35.976391,5.810833,130,18,,0
19675T,19675L,L21,L18+L21,6,150,20,140,16406,35.976391,5.810833,280,18,,0
19676M,19676L,L18,L18,1,1680,450,450,19403,36.176273,5.336714,20,16,0,3
19676N,19676L,L18,L18,2,1680,451,430,19403,36.176273,5.336714,140,16,0,6
19676O,19676L,L18,L18,3,1680,452,440,19403,36.176273,5.336714,240,16,0,6
19677R,19677L,L21,L21,4,150,72,50,19403,36.253911,5.266038,0,18,,0
19677S,19677L,L21,L21,5,150,73,30,19403,36.253911,5.266038,120,18,,0
19677T,19677L,L21,L21,6,150,74,40,19403,36.253911,5.266038,270,18,,0
19679M,19679L,L18,L18,1,1680,228,310,19405,36.16185,5.68953,0,18,2,4
19679N,19679L,L18,L18,2,1680,229,290,19405,36.16185,5.68953,120,18,0,4
19679O,19679L,L18,L18,3,1680,230,300,19405,36.16185,5.68953,240,18,0,1
19680M,19680L,L18,L18+L21,1,1680,48,710,19405,36.14475,5.70612,0,22,1,2
19680N,19680L,L18,L18+L21,2,1680,49,720,19405,36.14475,5.70612,120,22,0,2
19680O,19680L,L18,L18+L21,3,1680,50,730,19405,36.14475,5.70612,240,22,0,3
19680R,19680L,L21,L18+L21,4,150,48,710,19405,36.14475,5.70612,0,22,,0
19680S,19680L,L21,L18+L21,5,150,49,720,19405,36.14475,5.70612,120,22,,0
19680T,19680L,L21,L18+L21,6,150,50,730,19405,36.14475,5.70612,240,22,,0
19681M,19681L,L18,L18,1,1680,93,20,19405,36.15769,5.67614,0,21,0,6
19681N,19681L,L18,L18,2,1680,94,0,19405,36.15769,5.67614,120,21,0,6
19681O,19681L,L18,L18,3,1680,95,10,19405,36.15769,5.67614,240,21,0,6
19682M,19682L,L18,L18,1,1680,408,80,19405,36.139,5.69043,0,14,2,3
19682N,19682L,L18,L18,2,1680,409,60,19405,36.139,5.69043,120,14,2,0
19682O,19682L,L18,L18,3,1680,410,70,19405,36.139,5.69043,240,14,2,2
19684M,19684L,L18,L18,1,1680,495,80,19402,36.2562,5.78264,20,28,2,0
19684N,19684L,L18,L18,2,1680,496,60,19402,36.2562,5.78264,190,28,2,0
19684O,19684L,L18,L18,3,1680,497,70,19402,36.2562,5.78264,280,28,2,0
19686M,19686L,L18,L18,1,1680,51,430,19405,36.1523,5.75822,10,16,0,0
19686N,19686L,L18,L18,2,1680,52,410,19405,36.1523,5.75822,110,16,0,0
19686O,19686L,L18,L18,3,1680,53,420,19405,36.1523,5.75822,270,16,0,0
19691M,19691L,L18,L18+L21,1,1680,150,670,19402,36.19969,5.40266,90,21,1,4
19691N,19691L,L18,L18+L21,2,1680,151,680,19402,36.19969,5.40266,190,21,2,6
19691O,19691L,L18,L18+L21,3,1680,152,690,19402,36.19969,5.40266,310,21,0,4
19691R,19691L,L21,L18+L21,4,150,150,670,19402,36.19969,5.40266,90,21,,0
19691S,19691L,L21,L18+L21,5,150,151,680,19402,36.19969,5.40266,190,21,,0
19691T,19691L,L21,L18+L21,6,150,152,690,19402,36.19969,5.40266,310,21,,0
19695M,19695L,L18,L18,1,1680,309,120,19403,36.51,5.15161,40,10,1,1
19695N,19695L,L18,L18,2,1680,310,130,19403,36.51,5.15161,180,10,0,5
19695O,19695L,L18,L18,3,1680,311,140,19403,36.51,5.15161,280,10,1,3
19696M,19696L,L18,L18,1,1680,36,30,19403,36.4417,5.46764,80,20,2,0
19696N,19696L,L18,L18,2,1680,37,40,19403,36.4417,5.46764,180,20,0,0
19696O,19696L,L18,L18,3,1680,38,50,19403,36.4417,5.46764,300,20,0,0
19698M,19698L,L18,L18,1,1680,45,10,19403,36.42781,5.53429,0,18,0,0
19698N,19698L,L18,L18,2,1680,46,0,19403,36.42781,5.53429,180,18,0,0
19704M,19704L,L18,L18,1,1680,30,50,19403,36.39716,4.984487,0,19,3,0
19704N,19704L,L18,L18,2,1680,31,30,19403,36.39716,4.984487,160,19,2,0
19704O,19704L,L18,L18,3,1680,32,40,19403,36.39716,4.984487,250,19,0,0
19705M,19705L,L18,L18,1,1680,48,180,19403,36.397869,5.075022,90,16,0,0
19705N,19705L,L18,L18,2,1680,49,190,19403,36.397869,5.075022,260,16,0,0
19706M,19706L,L18,L18,1,1680,66,130,19403,36.04767,5.3947,60,60,3,0
19706N,19706L,L18,L18,2,1680,67,140,19403,36.04767,5.3947,240,60,3,0
19707M,19707L,L18,L18,1,1680,42,40,19403,35.985374,5.183623,80,23,3,2
19707N,19707L,L18,L18,2,1680,43,50,19403,35.985374,5.183623,200,23,0,0
19707O,19707L,L18,L18,3,1680,44,60,19403,35.985374,5.183623,300,23,0,1.5
19713M,19713L,L18,L18,1,1680,18,30,19403,36.169998,5.233333,90,21,3,3
19713N,19713L,L18,L18,2,1680,19,40,19403,36.169998,5.233333,160,21,0,5
19713O,19713L,L18,L18,3,1680,20,50,19403,36.169998,5.233333,270,21,0,6
19715M,19715L,L18,L18,1,1680,168,340,19402,36.20815,5.43174,100,23,0,2
19715N,19715L,L18,L18,2,1680,169,350,19402,36.20815,5.43174,220,23,0,4
19715O,19715L,L18,L18,3,1680,170,360,19402,36.20815,5.43174,320,23,0,6
19717M,19717L,L18,L18+L21,1,1680,117,410,19405,36.15491,5.67494,60,22,0,6
19717N,19717L,L18,L18+L21,2,1680,118,420,19405,36.15491,5.67494,180,22,0,6
19717O,19717L,L18,L18+L21,3,1680,119,430,19405,36.15491,5.67494,300,22,0,2
19717R,19717L,L21,L18+L21,4,150,117,410,19405,36.15491,5.67494,60,22,,0
19717S,19717L,L21,L18+L21,5,150,118,420,19405,36.15491,5.67494,180,22,,0
19717T,19717L,L21,L18+L21,6,150,119,430,19405,36.15491,5.67494,300,22,,0
19720M,19720L,L18,L18,1,1680,384,330,19403,35.92191,5.28434,30,36,4,0
19720N,19720L,L18,L18,2,1680,385,340,19403,35.92191,5.28434,180,36,4,0
19720O,19720L,L18,L18,3,1680,386,350,19403,35.92191,5.28434,290,36,2,0
19721M,19721L,L18,L18+L21,1,1680,174,160,19402,36.18825,5.40591,120,23,2.6,4
19721N,19721L,L18,L18+L21,2,1680,175,170,19402,36.18825,5.40591,250,23,3,4
19721O,19721L,L18,L18+L21,3,1680,176,180,19402,36.18825,5.40591,350,23,0,4
19721R,19721L,L21,L18+L21,4,150,174,160,19402,36.18825,5.40591,120,23,,0
19721S,19721L,L21,L18+L21,5,150,175,170,19402,36.18825,5.40591,250,23,,0
19721T,19721L,L21,L18+L21,6,150,176,180,19402,36.18825,5.40591,350,23,,0
19722M,19722L,L18,L18,1,1680,72,350,19402,36.20246,5.44213,10,22,0,3
19722N,19722L,L18,L18,2,1680,73,330,19402,36.20246,5.44213,160,22,0,0
19722O,19722L,L18,L18,3,1680,74,340,19402,36.20246,5.44213,270,22,0,3
19723M,19723L,L18,L18+L21,1,1680,39,230,19405,35.81286,5.50099,10,20,1,2
19723N,19723L,L18,L18+L21,2,1680,40,210,19405,35.81286,5.50099,140,20,0,0
19723O,19723L,L18,L18+L21,3,1680,41,220,19405,35.81286,5.50099,260,20,1,2
19723R,19723L,L21,L18+L21,4,150,39,230,19405,35.81286,5.50099,10,20,,0
19723S,19723L,L21,L18+L21,5,150,40,210,19405,35.81286,5.50099,140,20,,0
19723T,19723L,L21,L18+L21,6,150,41,220,19405,35.81286,5.50099,260,20,,0
19725M,19725L,L18,L18,1,1680,54,730,19405,36.16695,5.68432,0,20,1,0
19725N,19725L,L18,L18,2,1680,55,710,19405,36.16695,5.68432,170,20,0,3
19725O,19725L,L18,L18,3,1680,56,720,19405,36.16695,5.68432,230,20,1,2
19726M,19726L,L18,L18,1,1680,336,280,19403,36.14384,5.32599,80,22,-4,0
19726N,19726L,L18,L18,2,1680,337,290,19403,36.14384,5.32599,240,22,-4,0
19726O,19726L,L18,L18,3,1680,338,300,19403,36.14384,5.32599,340,22,-4,0
19727M,19727L,L18,L18+L21,1,1680,21,160,19403,36.34187,5.47434,30,30,-2,4
19727N,19727L,L18,L18+L21,2,1680,22,170,19403,36.34187,5.47434,140,30,0,3
19727O,19727L,L18,L18+L21,3,1680,23,180,19403,36.34187,5.47434,250,30,0,4
19727R,19727L,L21,L18+L21,4,150,21,160,19403,36.34187,5.47434,30,30,,0
19727S,19727L,L21,L18+L21,5,150,22,170,19403,36.34187,5.47434,140,30,,0
19727T,19727L,L21,L18+L21,6,150,23,180,19403,36.34187,5.47434,250,30,,0
19728M,19728L,L18,L18+L21,1,1680,132,690,19405,36.15922,5.70478,0,20,0,5
19728N,19728L,L18,L18+L21,2,1680,133,700,19405,36.15922,5.70478,140,20,0,5
19728O,19728L,L18,L18+L21,3,1680,134,710,19405,36.15922,5.70478,280,20,0,6
19728R,19728L,L21,L18+L21,4,150,132,690,19405,36.15922,5.70478,0,20,,0
19728S,19728L,L21,L18+L21,5,150,133,700,19405,36.15922,5.70478,120,20,,0
19728T,19728L,L21,L18+L21,6,150,134,710,19405,36.15922,5.70478,240,20,,0
19734M,19734L,L18,L18,1,1680,36,40,19403,36.492779,5.103889,200,21,0,6
19734N,19734L,L18,L18,2,1680,37,50,19403,36.492779,5.103889,310,21,0,6
19737M,19737L,L18,L18,1,1680,315,150,19402,36.188488,5.448022,0,25,2,2
19737N,19737L,L18,L18,2,1680,316,130,19402,36.188488,5.448022,110,25,2,0
19737O,19737L,L18,L18,3,1680,317,140,19402,36.188488,5.448022,220,25,2,0
19739M,19739L,L18,L18+L21,1,1680,42,650,19405,36.17128,5.66539,0,17,0,0
19739N,19739L,L18,L18+L21,2,1680,43,630,19405,36.17128,5.66539,120,17,0,0
19739O,19739L,L18,L18+L21,3,1680,44,640,19405,36.17128,5.66539,240,17,0,0
19739R,19739L,L21,L18+L21,4,150,42,650,19405,36.17128,5.66539,0,17,,0
19739S,19739L,L21,L18+L21,5,150,43,630,19405,36.17128,5.66539,120,17,,0
19739T,19739L,L21,L18+L21,6,150,44,640,19405,36.17128,5.66539,240,17,,0
19740M,19740L,L18,L18,1,1680,36,430,19402,36.199142,5.448963,50,25,1,2
19740N,19740L,L18,L18,2,1680,37,440,19402,36.199142,5.448963,190,25,1,2
19740O,19740L,L18,L18,3,1680,38,450,19402,36.199142,5.448963,320,25,0,2
19742M,19742L,L18,L18+L21,1,1680,147,760,19402,36.1925,5.41486,0,20,0,6
19742N,19742L,L18,L18+L21,2,1680,148,740,19402,36.1925,5.41486,120,20,0,6
19742O,19742L,L18,L18+L21,3,1680,149,750,19402,36.1925,5.41486,240,20,0,6
19742R,19742L,L21,L18+L21,4,150,147,760,19402,36.1925,5.41486,0,20,,0
19742S,19742L,L21,L18+L21,5,150,148,740,19402,36.1925,5.41486,120,20,,0
19742T,19742L,L21,L18+L21,6,150,149,750,19402,36.1925,5.41486,240,20,,0
19743M,19743L,L18,L18+L21,1,1680,33,70,19402,36.19316,5.36214,10,26,0,3
19743N,19743L,L18,L18+L21,2,1680,34,50,19402,36.19316,5.36214,90,26,6,4
19743O,19743L,L18,L18+L21,3,1680,35,60,19402,36.19316,5.36214,240,26,0,3
19743R,19743L,L21,L18+L21,4,150,33,70,19402,36.19316,5.36214,10,26,,0
19743S,19743L,L21,L18+L21,5,150,34,50,19402,36.19316,5.36214,90,26,,0
19743T,19743L,L21,L18+L21,6,150,35,60,19402,36.19316,5.36214,240,26,,0
19744M,19744L,L18,L18+L21,1,1680,144,270,19403,36.18763,5.32029,0,20,2,0
19744N,19744L,L18,L18+L21,2,1680,145,250,19403,36.18763,5.32029,120,20,0,0
19744O,19744L,L18,L18+L21,3,1680,146,260,19403,36.18763,5.32029,240,20,2,2
19744R,19744L,L21,L18+L21,4,150,144,270,19403,36.18763,5.32029,0,20,,0
19744S,19744L,L21,L18+L21,5,150,145,250,19403,36.18763,5.32029,120,20,,0
19744T,19744L,L21,L18+L21,6,150,146,260,19403,36.18763,5.32029,240,20,,0
19747M,19747L,L18,L18,1,1680,96,420,19402,36.22033,5.44335,60,32,0,0
19747N,19747L,L18,L18,2,1680,97,430,19402,36.22033,5.44335,210,32,0,0
19747O,19747L,L18,L18,3,1680,98,440,19402,36.22033,5.44335,280,32,0,0
19749M,19749L,L18,L18,1,1680,48,120,19405,35.82598,5.50811,20,17,1,2
19749N,19749L,L18,L18,2,1680,49,100,19405,35.82598,5.50811,140,17,5,2
19749O,19749L,L18,L18,3,1680,50,110,19405,35.82598,5.50811,240,17,0,2
19750M,19750L,L18,L18,1,1680,141,250,19405,36.15275,5.6895,0,30,0,6
19750N,19750L,L18,L18,2,1680,142,230,19405,36.15275,5.6895,120,30,0,6
19750O,19750L,L18,L18,3,1680,143,240,19405,36.15275,5.6895,260,30,0,4
19751M,19751L,L18,L18,1,1680,432,620,19405,36.1601,5.69896,0,20,2,6
19751N,19751L,L18,L18,2,1680,433,600,19405,36.1601,5.69896,120,20,2,6
19751O,19751L,L18,L18,3,1680,434,610,19405,36.1601,5.69896,240,20,2,6
19752M,19752L,L18,L18,1,1680,57,680,19405,36.15984,5.67195,0,22,0,4
19752N,19752L,L18,L18,2,1680,58,660,19405,36.15984,5.67195,120,22,0,4
19752O,19752L,L18,L18,3,1680,59,670,19405,36.15984,5.67195,240,22,0,4
19754M,19754L,L18,L18+L21,1,1680,102,60,19403,36.36959,5.50786,80,13,0,6
19754N,19754L,L18,L18+L21,2,1680,103,70,19403,36.36959,5.50786,170,13,0,5
19754O,19754L,L18,L18+L21,3,1680,104,80,19403,36.36959,5.50786,270,13,0,4
19754R,19754L,L21,L18+L21,4,150,102,60,19403,36.36959,5.50786,80,13,,0
19754S,19754L,L21,L18+L21,5,150,103,70,19403,36.36959,5.50786,170,13,,0
19754T,19754L,L21,L18+L21,6,150,104,80,19403,36.36959,5.50786,270,13,,0
19760M,19760L,L18,L18+L21,1,1680,153,790,19402,36.14021,5.44717,0,20,0,4
19760N,19760L,L18,L18+L21,2,1680,154,770,19402,36.14021,5.44717,160,20,0,4
19760O,19760L,L18,L18+L21,3,1680,155,780,19402,36.14021,5.44717,250,20,0,4
19760R,19760L,L21,L18+L21,4,150,153,790,19402,36.14021,5.44717,0,20,,0
19760S,19760L,L21,L18+L21,5,150,154,770,19402,36.14021,5.44717,160,20,,0
19760T,19760L,L21,L18+L21,6,150,155,780,19402,36.14021,5.44717,250,20,,0
19761M,19761L,L18,L18,1,1680,348,30,19405,36.13511,5.84087,40,20,0,0
19761N,19761L,L18,L18,2,1680,349,40,19405,36.13511,5.84087,160,20,2,0
19761O,19761L,L18,L18,3,1680,350,50,19405,36.13511,5.84087,260,20,2,0
